J3KQB2	J3KQB2
Q9JLT2	O43280
Q7TPQ3	Q7TPQ3
Q7TPQ3	Q149N8
Q8WVR3	Q8WVR3
Q8WVR3	Q3UTZ3
Q96RR1	Q96RR1
Q96RR1	Q8CIW5
Q8WVF1	Q8WVF1
P83503	P83503
P83503	Q9GZU5
Q9NX24	Q9NX24
Q9JJC8	Q9JJC8
Q9JJC8	Q8N8Q9
Q8R4V1	Q8R4V1
Q8NET5	Q8NET5
Q969G9	Q969G9
Q969G9	Q99MH6
Q9UHQ1	Q9UHQ1
Q9UHQ1	Q9CYQ7
Q8BH10	Q8BH10
Q8BH10	Q96SN7
Q86UB9	Q86UB9
Q86UB9	Q9CYV5
Q9H6X4	Q9H6X4
Q9H6X4	Q8R0J4
Q9H6X4	NP_001072115
Q9BVX2	Q9BVX2
Q9BVX2	Q80VP8
Q96BQ1	Q96BQ1
Q96BQ1	Q92520
P62495	P62495
P62495	Q8BWY3
Q52LR7	Q52LR7
Q52LR7	Q8C0I4
Q52LR7	Q8C9X6
Q52LR7	Q9H2F5
Q8VC03	Q8VC03
Q8VC03	Q32P44
Q8VC03	D4A4R1
Q8VC03	Q32P44-2
Q9Y530	Q9Y530
Q96KX1	Q96KX1
Q9BU61	Q9BU61
Q3UKG2	Q3UKG2
Q3UKG2	E7EW31
Q3UKG2	F1M6Z4
Q3V1D3	Q3V1D3
Q3V1D3	P23109
Q3V1D3	P10759
Q3V1D3	Q01432-5
Q3V1D3	O08739
Q3V1D3	Q01432
Q3V1D3	O09178
Q3V1D3	Q01433
Q3V1D3	Q02356
Q3V1D3	Q9DBT5
Q3V1D3	Q01433-2
P47740	P47740
P47740	P30838
P47740	P43353
P47740	Q80VQ0
P47740	J3QMK6
P47740	E9Q3E1
P47740	P51648
P47740	P51648-2
Q7TQI7	Q7TQI7
Q7TQI7	Q8N961
Q7TQI7	A6QL63
Q7TQI7	Q6GQW0
Q86XZ4	Q86XZ4
Q86XZ4	Q8K1N4
Q9C0I1	Q9C0I1
Q9C0I1	Q80TA6
Q9C0I1	Q5FVM6
Q9BWV7	Q9BWV7
Q9UQ05	Q9UQ05
Q9UQ05	A2A5F7
Q9UQ05	Q9ULD8
Q9UQ05	Q9WVJ0
P78545	P78545
P78545	Q3UPW2
Q8CJF9	Q8CJF9
Q8CJF9	Q9UKV8
Q8CJF9	Q9H9G7
Q8CJF9	Q8CJG0
Q8CJF9	Q8CJG1
Q8CJF9	Q9UL18
Q8CJF9	F1LUS2
Q8CJF9	Q9QZ81
Q8CJF9	Q9HCK5
Q8CJF9	Q8CJF8
Q6P8G8	Q6P8G8
Q6P8G8	Q9BRQ5
Q9DAN9	Q9DAN9
Q9DAN9	B2RV13
A6NNW6	A6NNW6
Q9Z1P7	Q9Z1P7
Q9Z1P7	Q6NY19
Q9Z1P7	B2RYN8
Q9BY67	Q9BY67
Q9BY67	Q8R5M8
Q9BY67	Q6AYP5
Q8ND83	Q8ND83
Q8ND83	Q68FF7
P0DPB4	P0DPB4
P0DPB4	P0DPB3
Q5TGI4	Q5TGI4
Q4QY64	Q4QY64
Q4QY64	D4A058
Q4QY64	Q96QE3
Q3UP38	Q3UP38
Q3UP38	Q9BSW2
Q68FL4	Q68FL4
Q68FL4	D3ZWL6
Q68FL4	Q96HN2
Q68FL4	Q96HN2-2
Q63472	Q63472
Q63472	Q60603
Q63472	O95259
Q63472	Q920E3
Q63472	Q8NCM2
Q63472	Q9EPI9
Q6IEE7	Q6IEE7
Q6IEE7	Q6IEE6
Q96IJ6	Q96IJ6
Q96IJ6	Q922H4
Q5VXU9-2	Q5VXU9-2
Q49A92	Q49A92
Q5SZL2	Q5SZL2
Q5SZL2	A0A1W2P884
P05121	P05121
Q9UJQ4	Q9UJQ4
Q9UJQ4	Q8BX22
Q5VTE6	Q5VTE6
Q5VTE6	Q8K1C0
Q3SY69	Q3SY69
Q3SY69	Q8K009
Q3SY69	P28037
Q3SY69	Q8R0Y6
Q3SY69	O75891
Q3SY69	NP_001178707
Q14582	Q14582
Q920Q8	Q920Q8
Q920Q8	Q9Y6Y0
Q920Q8	EDM09575
Q7Z6W1	Q7Z6W1
Q7Z6W1	P0C1V4
Q7Z402	Q7Z402
Q7Z402	Q8C428
Q99805	Q99805
Q8TA86	Q8TA86
Q969K3	Q969K3
Q969K3	Q99KR6
Q80XA6	Q80XA6
Q80XA6	Q8NFH8
Q8BIV1	Q8BIV1
Q5ISE2	Q5ISE2
Q3TXX4	Q3TXX4
Q3TXX4	Q8BLE7
Q3TXX4	Q9P2U8
Q3TXX4	Q9P2U7
Q3TXX4	Q62634
Q9QUM7	Q9QUM7
Q9QUM7	O43196
Q9BXU3	Q9BXU3
Q6UB35	Q6UB35
Q6UB35	Q922D8
Q6UB35	P11586
Q6UB35	Q3V3R1
Q8BU85	Q8BU85
Q8N7M0	Q8N7M0
Q7Z7J5	Q7Z7J5
Q9BU89	Q9BU89
Q9EQM6	Q9EQM6
Q9EQM6	Q8WYQ5
Q9EQM6	D4A2G4
P15848	P15848
Q6A058	Q6A058
Q7L311	Q7L311
Q9NVT9	Q9NVT9
Q9NVT9	Q9D7A8
Q6TGC4	Q6TGC4
O94817	O94817
Q9JKC7	Q9JKC7
Q9JKC7	O00189
Q9UHH9	Q9UHH9
Q9UHH9	Q80V72
P54845	P54845
P54845	P54846
Q9UK13	Q9UK13
Q687X5	Q687X5
Q687X5	Q923B6
Q8WX94	Q8WX94
Q8WX94	Q8WX94-2
Q8WX94	Q9NX02
Q96IC2	Q96IC2
Q8N5Z5	Q8N5Z5
Q9Y6K1	Q9Y6K1
Q9Y6K1	O88508
Q9Y6K1	Q1LZ53
Q9Y6K1	Q4W5Z4
Q5STT6	Q5STT6
Q5STT6	Q8TC56
Q5STT6	Q66H38
Q8TB45	Q8TB45
Q8TB45	Q570Y9
Q5VV43	Q5VV43
Q5VV43	Q5SZV5
Q6UXB8	Q6UXB8
Q6UXB8	D3ZGM7
Q3UFK8	Q3UFK8
Q3UFK8	Q9BZ67
Q3UFK8	Q5U2R3
Q80VK6	Q80VK6
Q80VK6	Q9NXL2
Q8BJQ9	Q8BJQ9
Q8BJQ9	Q8TDX6
Q8BJQ9	Q8N6G5
Q8BJQ9	Q8C1F4
Q8IX04	Q8IX04
Q8IX04	Q3U1V6
Q96PN6	Q96PN6
Q96PN6	Q8C0T9
Q92600	Q92600
Q8CG73	Q8CG73
Q8CG73	Q68CZ1
Q8IYS8	Q8IYS8
Q8IYS8	Q96IK1
Q9NS37	Q9NS37
Q9NS37	Q91ZR3
Q8N6M8	Q8N6M8
A2ADZ8	A2ADZ8
Q4KMZ1	Q4KMZ1
Q6UWB1	Q6UWB1
Q91VF6	Q91VF6
Q91VF6	Q96A83
Q9BTV5	Q9BTV5
Q9BTV5	Q7TPM6
Q9BTV5	Q9BXM9
Q9BTV5	Q8BYN5
Q9BTV5	XP_002726574
B1AJZ9	B1AJZ9
B1AJZ9	A6PWD2
Q5XX13-2	Q5XX13-2
Q5XX13-2	Q5SUS0
Q5XX13-2	Q5XX13
A2CJ06	A2CJ06
Q9Y5R5	Q9Y5R5
A2AKB4	A2AKB4
A2AKB4	Q5SYB0
Q96HY7	Q96HY7
Q96HY7	A2ATU0
Q6NWV3	Q6NWV3
Q6NWV3	Q9HBG6
Q8BH98	Q8BH98
Q8BH98	Q6ZNC8
Q8BH98	Q8R3I2
Q8BH98	Q6ZWT7
Q7Z304	Q7Z304
Q7Z304	Q8CG85
Q8N9H9	Q8N9H9
Q8IWB4	Q8IWB4
Q8IWB4	Q5VVP1
Q8IWB4	Q5TZJ5
Q8IWB4	Q5VYP0
Q8IWB4	Q5VU36
Q96L08	Q96L08
O94993	O94993
O94993	Q8CGW4
Q2TAY7	Q2TAY7
Q2TAY7	Q3UKJ7
Q9QYS9	Q9QYS9
Q9QYS9	Q96PU8
Q9QYS9	Q9QYS9-6
Q9QYS9	Q96PU8-3
Q06323	Q06323
Q06323	Q06323-2
Q15008	Q15008
Q15008	Q99JI4
Q9DB98	Q9DB98
Q9DB98	Q96BZ8
Q9BX79	Q9BX79
Q9BX79	O70491
Q8CIL4	Q8CIL4
Q8CIL4	Q3KRF3
Q8CIL4	Q8NDD1
Q8R0L1	Q8R0L1
Q8R0L1	Q9UGK3
Q8R0L1	Q5BK28
P10158	P10158
P10158	P48755
P10158	P15407
Q60660	Q60660
Q14954	Q14954
Q14954	Q14952
Q14954	P43631
Q99735	Q99735
Q9BV47	Q9BV47
Q8R4A3	Q8R4A3
Q8R4A3	Q9NYF0
Q8R4A3	D4A3W8
P55060	P55060
P55060	Q9ERK4
P23942	P23942
Q8IYI0	Q8IYI0
Q9BTX7	Q9BTX7
Q9BTX7	Q9D3D0
Q9BSD7	Q9BSD7
Q7L4P6	Q7L4P6
Q7L4P6	Q8C6D4
Q9H6D7	Q9H6D7
Q3UZ01	Q3UZ01
Q3UZ01	Q96LT9
Q3UZ01	Q4G055
Q5ND52	Q5ND52
Q5ND52	Q9HC36
Q8TAC1	Q8TAC1
Q3UPH1	Q3UPH1
Q3UPH1	Q96M27
Q5VU57	Q5VU57
Q5VU57	Q09LZ8
Q9CZ96	Q9CZ96
Q9CZ96	Q8TBF4
Q9CZ96	Q499V6
Q9DCD2	Q9DCD2
Q9DCD2	Q9HCS7
Q9DCD2	Q99PK0
Q9H1J5	Q9H1J5
Q6NSX1	Q6NSX1
Q8BVN0	Q8BVN0
Q8BVN0	Q5T0U0
Q8BVN0	XP_001072334
P25208	P25208
P59054	P59054
P59054	Q96S65
Q3TY86	Q3TY86
Q3TY86	Q96NN9
Q3TY86	D3ZF03
Q3TY86	Q96NN9-2
Q86Y37	Q86Y37
Q86Y37	Q8R0X2
O95393	O95393
Q5RJ54	Q5RJ54
Q5RJ54	Q16670
Q8CEW7	Q8CEW7
Q49AG3	Q49AG3
Q9NQW5	Q9NQW5
Q9BV94	Q9BV94
Q8CDI3	Q8CDI3
Q68DN1	Q68DN1
D2J0Y4	D2J0Y4
D2J0Y4	B3DMA4
D2J0Y4	Q96M02
Q3ULJ0	Q3ULJ0
Q3ULJ0	P13707
Q3ULJ0	P21695
Q3ULJ0	Q8N335
Q3ULJ0	O35077
Q9DBM1	Q9DBM1
Q9DBM1	F1LU70
Q9DBM1	Q9BRR8
Q8NHH9	Q8NHH9
Q8NHH9	Q8BH66
Q8NHH9	Q8WXF7
Q8NHH9	Q6PA06
Q8NHH9	F1LQ09
Q8NHH9	Q6PST4
Q8NHH9	Q8NHH9-2
Q6PID6	Q6PID6
Q9C0F1	Q9C0F1
Q8WXF5	Q8WXF5
Q8IZJ3	Q8IZJ3
Q8VEG6	Q8VEG6
Q8VEG6	Q96LI5
Q8VEG6	F1M642
Q8VEG6	Q8K3P5
Q8VEG6	Q9ULM6
Q96KA5	Q96KA5
Q6IRU7	Q6IRU7
Q6UWH4	Q6UWH4
Q5T1N1	Q5T1N1
Q5VW32	Q5VW32
Q8BTW4	Q8BTW4
Q8BTW4	Q9UDV7
Q5VV52-2	Q5VV52-2
Q5VV52-2	Q5VV52
Q86T90	Q86T90
Q86T90	Q6NZK5
Q8IWA5	Q8IWA5
Q8IWA5	Q8BY89-2
Q8IWA5	Q8IWA5-3
Q8IWA5	Q8BY89
Q8IWA5	Q8NCS7
Q8IWA5	Q53GD3
P41438	P41438
P41440	P41440
Q9NRB3	Q9NRB3
Q9NRB3	Q99LL3
Q923M0	Q923M0
Q923M0	Q96I34
Q9Y2G5	Q9Y2G5
Q02809	Q02809
Q02809	O00469
Q02809	Q9R0B9
Q02809	O00469-2
Q02809	O60568
Q02809	Q9R0E1
Q8BTP0	Q8BTP0
Q8BTP0	Q86VD9
Q9UK53	Q9UK53
O95998	O95998
Q9JIY0	Q9JIY0
Q9JIY0	Q5BJM5
Q9JIY0	Q53GL0
Q9UM63	Q9UM63
Q6PIY7	Q6PIY7
Q6ZQ18	Q6ZQ18
Q6ZQ18	Q9Y2G0
Q6ZQ18	F1LTW9
Q6ZQ18	Q14156
Q6ZQ18	D4ADS9
Q6ZQ18	Q8BG67
Q8N1B4	Q8N1B4
Q8N1B4	Q8C754
O75631	O75631
O75631	Q9JKX8
Q8N4Q1	Q8N4Q1
P13987	P13987
Q5SP85	Q5SP85
Q5SP85	Q96PX6
Q5SP85	D3ZMD4
P55210	P55210
P55210	P97864
Q5T1B0	Q5T1B0
Q99K99	Q99K99
Q99K99	Q8IY42
Q8N9N2	Q8N9N2
Q9D416	Q9D416
Q5H913	Q5H913
Q8C4V1	Q8C4V1
Q8C4V1	Q8N264
Q8C4V1	Q5U2Z7
Q9H4B0	Q9H4B0
Q9H4B0	Q6PEB4
Q8NE18	Q8NE18
P19075	P19075
Q86XM0	Q86XM0
Q6PGG6	Q6PGG6
Q6PGG6	Q9NVN8
Q7Z4T8	Q7Z4T8
Q16595	Q16595
Q16595	O35943
Q16595	Q16595-3
Q7TQJ8	Q7TQJ8
Q7TQJ8	A6NIX2
Q99MZ6	Q99MZ6
Q99MZ6	Q6PIF6
Q99MZ6	F1M885
Q99MZ6	P97479
Q99MZ6	Q13402
A2AJ15	A2AJ15
A2AJ15	Q9UKM7
Q5JTW2	Q5JTW2
Q5JTW2	Q5JTW2-2
Q6ZMC9	Q6ZMC9
Q9D710	Q9D710
Q9D710	Q9Y320
Q9H853	Q9H853
Q80VM3	Q80VM3
Q80VM3	Q8NA56
Q91WA1	Q91WA1
Q91WA1	Q9BVW5
Q7Z6K1	Q7Z6K1
Q8WWL2	Q8WWL2
Q8WWL2	Q8K1S6
Q9Y6M0	Q9Y6M0
Q9Y6M0	Q7RTY9
Q9UMX3	Q9UMX3
Q9UMX3	O35425
P51910	P51910
Q3KP44	Q3KP44
Q3KP44	Q8BLD6
Q8N0X4	Q8N0X4
Q9H4K7	Q9H4K7
Q6P4T0	Q6P4T0
Q6P4T0	Q2TAZ0
Q6P4T0	D3ZT64
Q9UKJ5	Q9UKJ5
Q16589	Q16589
O43889	O43889
Q9UJ71	Q9UJ71
Q9Y5A6	Q9Y5A6
Q8C0Q3	Q8C0Q3
P82987	P82987
P82987	G3UXC7
P17927	P17927
P17031	P17031
P23812	P23812
P23812	P35452
Q80YX1	Q80YX1
Q80YX1	P24821
Q8CGS6	Q8CGS6
Q8CGS6	O75417
Q8VEH5	Q8VEH5
Q8VEH5	Q7L775
Q9UKU7	Q9UKU7
Q15181	Q15181
Q15181	Q9D819
Q14534	Q14534
Q7TNE1	Q7TNE1
Q7TNE1	Q9HAC7
Q6PGE7	Q6PGE7
Q6PGE7	P28573
Q6PGE7	Q99884
P42331	P42331
P42331	Q8BYW1
P42331	D3ZGL1
A2AHL1	A2AHL1
A2AHL1	Q9BYT9
Q8C4Q9	Q8C4Q9
Q8C4Q9	Q6P9G4
Q3UT76	Q3UT76
Q9Y271	Q9Y271
Q9Y271	Q99JA4
Q9Y271	Q924T8
Q8BS90	Q8BS90
Q8BS90	Q6PGQ7
Q86WA6	Q86WA6
Q8BPS4	Q8BPS4
Q9H2M9	Q9H2M9
Q9H2M9	Q8BMG7
Q9H2M9	Q5U1Z0
Q9C035	Q9C035
Q9C035	Q9BYJ4
Q9C035	Q9C030
Q9C035	Q8IYM9
Q9C035	Q99PP6
Q96JL9	Q96JL9
Q8JZM8	Q8JZM8
Q99102	Q99102
Q9QYC7	Q9QYC7
Q9QYC7	P38435
Q8C689	Q8C689
Q8C689	P17036
Q9NVA1	Q9NVA1
P55318	P55318
P55318	P35584
P60882	P60882
P60882	Q9QYP0
P60882	Q7Z7M0
Q9P2M1	Q9P2M1
P17564	P17564
Q96E11	Q96E11
Q96E11	Q5RKI9
Q96DA0	Q96DA0
Q8TDS5	Q8TDS5
Q7TMJ8	Q7TMJ8
Q9WV08	Q9WV08
Q9WV08	P35414
Q99068	Q99068
Q99068	P55302
Q99068	P30533
P28360	P28360
P28360	P13297
O76014	O76014
O76014	O76015
O76014	Q497I4
O76014	Q92764
O76014	O76013
O76014	Q14532
O76014	Q6IFV6
O76014	Q6A162
O76014	B1AQ75
Q96QV1	Q96QV1
Q8TCT9	Q8TCT9
Q8TCT9	Q9D8V0-4
Q8TCT9	Q9D8V0
Q8TCT9	Q8TCT9-2
Q7TSF4	Q7TSF4
Q7TSF4	Q8NAA5
O75807	O75807
Q96PP4	Q96PP4
Q8NHX9	Q8NHX9
Q8VC74	Q8VC74
Q8VC74	Q8N8Q8
O75820	O75820
O75820	Q8BKP2
O75820	O75820-2
Q3UFB2	Q3UFB2
Q3UFB2	Q9NWK9
Q3UFB2	B1WC05
Q6NXH8	Q6NXH8
Q6NXH8	Q8N6Q8
Q9UQV4	Q9UQV4
O35710	O35710
O35710	Q9UK39
Q9UJT0	Q9UJT0
Q8R3L5	Q8R3L5
Q8R3L5	Q9UIG8
Q8R3L5	Q9UIG8-2
O43361	O43361
Q15573	Q15573
Q15573	P97357
Q7TSH7	Q7TSH7
Q7TSH7	Q9H3M0
O15031	O15031
O15031	B2RXS4
O15031	D3ZQ57
Q8NE35	Q8NE35
Q8NE35	Q7TN99
Q8NE35	XP_001080170
Q8NE35	Q7TN98
Q8NE35	Q17RY0
Q8NE35	D3ZKL3
Q9ER73	Q9ER73
Q9ER73	Q96EB1
A1A5B6	A1A5B6
A1A5B6	Q3MII6
A1A5B6	NP_001100425
Q9D3A9	Q9D3A9
Q9D3A9	Q9H313
Q9D3A9	P0C5X8
Q9D3A9	Q9H313-3
Q6TL19	Q6TL19
Q9P0J0	Q9P0J0
Q13608	Q13608
Q13608	Q99LC9
Q62556	Q62556
Q62556	Q13410
Q9UGI6	Q9UGI6
Q9UGI6	P58391
Q9Z100	Q9Z100
Q9Z100	Q96SM3
Q96S90	Q96S90
Q96S90	Q5HZA4
Q96S90	Q9D0E3
Q92485	Q92485
Q8BV66	Q8BV66
Q8BV66	Q8TCB0
Q7RTU9	Q7RTU9
Q7RTU9	Q8VIM6
Q5T442	Q5T442
Q5T442	Q8BQU6
Q9H0I3	Q9H0I3
Q9H0I3	Q8C5T8
Q8CFW1	Q8CFW1
Q8CFW1	Q9NQ90
Q8BIV7	Q8BIV7
Q8BIV7	Q9Y2W3
Q9Y6N6	Q9Y6N6
Q9Y6N6	NP_001101300
Q9Y6N6	Q9R0B6
Q9Y697	Q9Y697
Q9Y697	Q9Z1J3
Q9Y5U8	Q9Y5U8
Q9Y5U8	P63030
Q12889	Q12889
Q12889	Q62010
Q08334	Q08334
Q08334	Q61190
P21958	P21958
P21958	P36370
P21958	Q03518
P21958	Q03518-2
Q01101	Q01101
Q01101	Q63ZV0
Q9BZ11	Q9BZ11
Q8TD30	Q8TD30
Q8TD30	Q8BGT5
Q8TD30	Q8QZR5
Q8TD30	P24298
Q96KS0	Q96KS0
Q96KS0	Q91YE2
Q96KS0	Q6AYU4
Q9BY21	Q9BY21
Q5UE93	Q5UE93
Q5UE93	Q3U6Q4
Q5UE93	A2TJT9
Q8C419	Q8C419
Q8C419	Q5T848
Q8BGY4	Q8BGY4
Q8BGY4	Q53HC5
Q8IXZ2	Q8IXZ2
Q8IXZ2	Q8CHP0
Q8IXZ2	D3ZKY5
Q86U06	Q86U06
Q86U06	Q86U06-2
Q86U06	Q86U06-4
Q7Z5H4	Q7Z5H4
Q6ZRQ5	Q6ZRQ5
Q6UWY5	Q6UWY5
Q6VY05	Q6VY05
Q6VY05	Q8IYX4
Q96CN5	Q96CN5
Q96CN5	Q8CIM1
Q8R366	Q8R366
Q8R366	Q969P0
P14060	P14060
P14060	P26149
P14060	P26439
P14060	P27364
P14060	Q61767
P14060	E9Q007
P14060	O35469
P14060	P26150
P13804	P13804
P13804	Q99LC5
P20489	P20489
P12104	P12104
P11182	P11182
P11182	P53395
Q8N9R8	Q8N9R8
Q8N9R8	Q8C8N2
Q8N9R8	Q8N9R8-2
Q8N456	Q8N456
Q8N456	Q9CQ07
Q8N2H3	Q8N2H3
Q8N2H3	Q3U4I7
Q9Y233	Q9Y233
Q9Y233	Q9Y233-2
Q9Y233	Q8CA95
Q9Y233	Q8CA95-3
F6VAN0	F6VAN0
F6VAN0	P18850
Q96NJ5	Q96NJ5
Q96NJ5	A2AJX0
Q96LJ8	Q96LJ8
Q7TNC9	Q7TNC9
Q7TNC9	Q14642
Q7TNC9	D3ZZX1
Q9H446	Q9H446
P0C2L3	P0C2L3
P0C2L3	Q8BUM6
P08185	P08185
Q9CQ69	Q9CQ69
Q9CQ69	O14949
O14576	O14576
O14576	Q62871
O14576	O88487
O14576	Q13409-3
O14576	O88485
O14576	Q13409
O14576	Q62871-3
O14576	Q63100
O14576	Q13409-2
O14576	O14576-2
Q8K285	Q8K285
Q8K285	O14526
Q8TF62	Q8TF62
Q8TF62	A2ANX3
Q8TF62	P98198-3
Q8TF62	P98198
Q8TF62	P98199
Q8TF62	O43520
Q8TF62	Q148W0
Q9BZQ4	Q9BZQ4
Q9BZQ4	Q8BNJ3
Q811F1	Q811F1
Q811F1	Q5SVQ8
Q9Y4G8	Q9Y4G8
Q9Y4G8	Q8CHG7
Q9Y4G8	Q17RH5
Q9Y4G8	F1M386
Q9Y3D7	Q9Y3D7
Q9Y3D7	Q9CQV1
Q9Y3D6	Q9Y3D6
Q9Y3D6	Q9CQ92
Q99MX7	Q99MX7
Q99MX7	Q9BXQ6
Q99MX7	XP_001058567
Q9BWQ8	Q9BWQ8
Q63810	Q63810
Q63810	P63098
Q63810	Q96LZ3
Q3MJ16	Q3MJ16
Q3MJ16	Q50L42
Q7TN84	Q7TN84
Q7TN84	Q8NB59
Q8C525	Q8C525
Q8BGV8	Q8BGV8
Q8BGV8	Q9NQG6
Q8BGV8	XP_001929401
Q8BGV8	Q5XIS8
Q8C166	Q8C166
Q8C166	Q99829
Q8C166	O75131
Q8C166	Q8BT60
Q8C166	Q96FN4
Q8C166	Q9Z140
Q8C166	O95741
Q8C166	D4ACG7
Q8C166	F1M0Z3
Q8C166	Q96A23
Q8C166	Q8BLR2
Q8C166	H1UBN0
Q8BTG7	Q8BTG7
Q8BTG7	Q9ULP0
Q8BTG7	Q8BTG7-2
Q8BTG7	Q9ULP0-2
Q8BTG7	Q9Z2L9
Q8BTG7	Q6AYR2
Q8BTG7	Q9QYF9
Q8BTG7	Q9UGV2
Q8WZ60	Q8WZ60
Q6UWM7	Q6UWM7
Q9Y2I8	Q9Y2I8
Q9Y2I8	Q8CBE3
P27612	P27612
P27612	P54319
P27612	Q9Y263
Q61139	Q61139
Q61139	Q62849
Q61139	Q16549
P56134	P56134
P56134	P56135
P56134	P56134-2
P56134	D3ZAF6
Q11011	Q11011
Q11011	P55786
Q11011	F1M9V7
Q8BR92	Q8BR92
Q8BR92	A0A096MIZ1
Q8BR92	Q8IXS6
Q8BR92	Q8IXS6-2
O43246	O43246
O43246	Q8BLQ7
P00326	P00326
P00326	P00329
P00326	P00325
P00326	P28332
P00326	P28474
P00326	P11766
P00326	P07327
P00326	P12711
P00326	P40394
P00326	Q9QYY9
P00326	P08319
Q9H2U9	Q9H2U9
Q9D2I5	Q9D2I5
Q9D2I5	Q7Z3E5
Q8IWY9	Q8IWY9
Q8IWY9	Q8CC12
Q3UN16	Q3UN16
Q3UN16	Q16538
Q3UN16	D4AAS1
Q6NX49	Q6NX49
Q5VYX0	Q5VYX0
Q15973	Q15973
Q15973	Q9BS34
Q15973	Q96I27-2
Q15973	Q0D2J5
Q14584	Q14584
Q14002	Q14002
Q9C0I4	Q9C0I4
Q9C0I4	Q6P4U0
O95967	O95967
Q6QLQ4	Q6QLQ4
Q6QLQ4	Q9BXN2
Q8WZ79	Q8WZ79
Q8IUA7	Q8IUA7
Q8IUA7	Q8K442
Q8IUA7	O94911
Q8IUA7	Q8K440
Q8IUA7	XP_001081605
Q8IUA7	Q8K449
Q8IUA7	Q8WWZ4
Q8IUA7	Q8N139
Q8IUA7	M0R890
Q8IUA7	Q8K441
Q86Y25	Q86Y25
Q86Y25	Q571J5
Q86X83	Q86X83
Q86X83	Q8BXC6
O14525	O14525
O14525	Q61137
O00592	O00592
Q9Y279	Q9Y279
Q9C0A1-2	Q9C0A1-2
Q9UL58	Q9UL58
Q9UJW7	Q9UJW7
Q9NY28	Q9NY28
P09848	P09848
P09848	F8VPT3
P09848	Q02401
Q86V35	Q86V35
Q86V35	Q91ZM8
Q9WUK6	Q9WUK6
Q9WUK6	Q99592
Q9WUK6	Q9JKY3
Q99542	Q99542
Q99542	Q9JHI0
Q15014	Q15014
Q15014	Q9R0Q4
Q9JHH6	Q9JHH6
Q9JHH6	Q96IY4
Q13478	Q13478
O95256	O95256
O95256	Q9Z2B1
Q6YGZ1	Q6YGZ1
Q6YGZ1	Q9Y251
Q9UBG3	Q9UBG3
Q8N0W3	Q8N0W3
Q13564	Q13564
Q13564	Q8VBW6
Q6P1Y8	Q6P1Y8
Q6P1Y8	O15327
Q9NY35	Q9NY35
Q6P3A9	Q6P3A9
Q969Q4	Q969Q4
Q8C0Q9	Q8C0Q9
Q6PER3	Q6PER3
Q6PER3	Q9UPY8
Q6PER3	Q5XIT1
Q6PER3	Q15691
Q6PER3	Q61166
Q6PER3	Q9UPY8-2
Q6PER3	D3Z6G3
Q8VHI6	Q8VHI6
Q8VHI6	Q9UPY6
Q8VHI6	M0R7F3
Q62036	Q62036
Q62036	D4AEL8
Q62036	Q9UPN4-2
Q62036	Q9UPN4
P55263	P55263
Q8R3U1	Q8R3U1
Q8R3U1	P53816
Q8R3U1	Q9NWW9
Q8R3U1	Q9UL19
P53597	P53597
P53597	Q9WUM5
Q9NZS9	Q9NZS9
Q12907	Q12907
Q96DZ1	Q96DZ1
Q12899	Q12899
Q12899	Q99PN3
Q91V83	Q91V83
Q91V83	O43156
Q92990	Q92990
Q3U2P1	Q3U2P1
Q3U2P1	O95486
Q6UWY0	Q6UWY0
O43570	O43570
O43570	Q8CI85
Q9NRX2	Q9NRX2
Q9NRX2	Q9D8P4
Q5SYL3	Q5SYL3
Q5SYL3	Q14667
Q61313	Q61313
Q61313	Q92481
Q61313	P34056
Q61313	P05549
Q61313	Q61312
Q61313	Q92754
Q61313	Q7Z6R9
Q61313	Q6VUP9
Q61313	Q6VUC0
Q7TSK3	Q7TSK3
Q7TSK3	O95206
Q7TSK3	D3ZE55
Q15784	Q15784
Q15784	Q62414
Q96AX1	Q96AX1
Q96AX1	Q9D2N9
Q91YE6	Q91YE6
Q91YE6	Q96P70
Q91YE6	D4A857
Q6PHS6	Q6PHS6
Q6PHS6	Q9Y5W8
Q9NYK5	Q9NYK5
Q9BT78	Q9BT78
Q9BT78	Q68FS2
Q9BT78	O88544
Q9UJ72	Q9UJ72
O88870	O88870
O88870	O76090
P43354	P43354
P43354	Q06219
P43354	Q92570
P43354	Q9QZB6
P43354	P22829
P43354	P12813
P43354	P22736
Q9DAS6	Q9DAS6
P82914	P82914
P82914	Q5XI37
Q3TB92	Q3TB92
Q3TB92	Q62875
Q9Y3I0	Q9Y3I0
Q9Y3I0	Q99LF4
Q99KZ6	Q99KZ6
Q99KZ6	Q9UID6
Q99KZ6	Q5PPG4
Q9QYB2	Q9QYB2
Q9QYB2	Q9UI36
Q9R013	Q9R013
Q9R013	Q9UBX1
P05231	P05231
Q01850	Q01850
Q01850	P97817
Q3U0W6	Q3U0W6
Q5U480	Q5U480
Q5U480	D4ADJ1
Q8C0R9	Q8C0R9
Q8C0R9	D4AD14
A4Q9E5	A4Q9E5
B1AVU4	B1AVU4
Q9D2G5-6	Q9D2G5-6
Q9D2G5-6	Q9D2G5-5
E9Q8L0	E9Q8L0
Q8WTV0	Q8WTV0
Q8WTV0	P97943
Q8WTV0	Q61009
Q8WTV0	Q8WTV0-2
Q8WTV0	Q8WTV0-5
P20236	P20236
P20236	P62812
P20236	P14867
P20236	P26049
P20236	P34903
P20236	P62813
P20236	P47869
