P03246	P03246
D3ZK16	Q9Y2F5
XP_002728041	XP_002728041
XP_002728041	A9Q751
XP_002728041	Q4G0U5
D4A1J8	D4A1J8
D4A1J8	Q14244-3
D4A1J8	A2AEY4
D4A1J8	O88735-2
D4A1J8	Q3KQU3-4
D4A1J8	Q14244-4
D4A1J8	Q96T17-5
D4A1J8	Q8C0A6
D4A1J8	XP_010802112
D4A1J8	A2AG50-2
D4A1J8	Q3KQU3
D4A1J8	A2AG50-3
D4A1J8	Q3KQU3-2
D4A1J8	Q8IWC1
D4A1J8	Q8IWC1-3
D4A1J8	Q8IWC1-4
D4A1J8	NP_001099740
D4A1J8	Q96T17
D4A1J8	A2AJI0
D4A1J8	A2AG50
D4A1J8	Q14244-5
D4A1J8	Q96T17-2
D4A1J8	O88735
D4A1J8	Q14244
D4A1J8	NP_001102908
Q6MG62	Q6MG62
Q6MG62	Q9QUM7
Q6MG62	O43196
Q8NCU8	Q8NCU8
Q8NCU8	Q8NCU8-1
Q156A1	Q156A1
Q561R2	Q561R2
Q561R2	Q6PAT0
Q561R2	Q96EY9
P62899-3	P62899-3
P62899-3	P62899
P62899-3	P62900
P62899-3	P62902
P62899-3	P62899-2
Q6NSV7-5	Q6NSV7-5
Q6NSV7-5	Q96BN6
Q6NSV7-5	Q6NSV7
Q6NSV7-5	Q5PQL8
Q6NSV7-5	F1LUX5
Q6NSV7-5	A5PLN7
Q6NSV7-5	Q8CFV2
Q6NSV7-5	Q96BN6-2
Q9C0H9-2	Q9C0H9-2
Q9C0H9-2	A2AQ25
Q9C0H9-2	Q9QWI6
Q9C0H9-2	BAC41473
Q9C0H9-2	Q9QXY2
Q9C0H9-2	XP_001069190
Q9C0H9-2	Q5T5P2
Q9C0H9-2	A2AQ25-2
Q9C0H9-2	B1AQX9
Q9C0H9-2	Q9C0H9
Q9C0H9-2	B1AQX7
Q9C0H9-2	Q5T5P2-3
Q7Z434-4	Q7Z434-4
Q7Z434-4	F1MU42
Q7Z434-4	Q66HG9
Q7Z434-4	Q8VCF0
Q7Z434-4	Q7Z434
Q9BZ98	Q9BZ98
O95411	O95411
Q6PAC4	Q6PAC4
Q6PAC4	A6NGG8
Q9P1Z3	Q9P1Z3
Q9P1Z3	O88705
Q9P1Z3	Q9JKB0
Q9P1Z3	O60741
Q9P1Z3	O70507
Q9P1Z3	Q9JKA8
Q9P1Z3	O88704
Q9P1Z3	Q9Y3Q4
Q9P1Z3	Q9JKA9
Q9P1Z3	Q9JKA7
Q9P1Z3	O88703
Q9P1Z3	Q9UL51
B2GUZ8	B2GUZ8
B2GUZ8	Q7Z769
B2GUZ8	Q6PGC7
Q66JR8	Q66JR8
Q66JR8	P63241-2
Q66JR8	P04550
Q66JR8	P63242
Q66JR8	Q3T1J1
Q66JR8	P63241
Q66JR8	P20962
Q66JR8	Q9D0J8
Q66JR8	Q8BGY2
Q66JR8	Q9GZV4
Q66JR8	Q6IS14
NP_001101856	NP_001101856
NP_001101856	Q9EPK7
NP_001101856	Q9UIA9
NP_001101856	D3ZYN8
NP_001101856	Q99NF8
NP_001101856	Q9H2T7
Q8R034	Q8R034
Q8R034	Q9BS18
P19536	P19536
P19536	P00428
P19536	G1TCZ0
P19536	P12075
P19536	P10606
P19536	Q5S3G4
XP_001066079	XP_001066079
XP_001066079	Q2TB45
XP_001066079	Q3UWX6
XP_001066079	Q8TDM6-4
XP_001066079	NP_001358932
XP_001066079	Q8TDM6
XP_001066079	E9Q9R9
XP_001066079	Q8VCB6
XP_001066079	XP_576885
XP_001066079	Q9D9F7
XP_001066079	XP_001057991
XP_001066079	Q8TDM6-2
XP_001066079	F1MSI9
XP_001066079	XP_001069621
Q8BMB4	Q8BMB4
Q8BMB4	A4D0V7
Q04906	Q04906
Q04906	P17125
Q04906	Q9Z0J6
Q04906	P61812-2
Q04906	O95390
Q04906	P18331
Q04906	P43026
Q04906	O00292
Q04906	P43027
Q04906	P57785
Q04906	O60383
Q04906	O08717
Q04906	Q07105
Q04906	P18075
Q04906	P58166
Q04906	P17491
Q04906	P22004
Q04906	P23359
Q04906	P03971
Q04906	O88959
Q04906	Q8BHE5
Q04906	Q06826
Q04906	P27106
Q04906	P09529
Q04906	Q6KF10
Q04906	P55108
Q04906	Q04999
Q04906	P43028
Q04906	P17246
Q04906	Q9R229
Q04906	Q07257
Q04906	Q9Z217
Q04906	Q9Z1W4
Q04906	O95393
Q04906	O14793
Q04906	Q9NR23
Q04906	Q07258
Q04906	O08689
Q04906	Q07104
Q04906	P55107
Q04906	P49002
Q04906	Q7Z4P5
Q04906	P20722
Q04906	P34820
Q04906	P43029
Q04906	Q96S42
Q04906	P55105
Q04906	Q9WUK5
Q04906	P01137
Q04906	P27539
Q04906	P43021
Q04906	P49000
Q04906	P04202
Q04906	Q9QYW4
Q04906	P08476
Q04906	D4A670
Q04906	Q04998
Q04906	Q5UCE3
Q04906	Q9MZE2
Q04906	Q9WUW1
Q04906	Q9WV56
Q04906	P97737
Q04906	Q9Z0L4
Q04906	Q9UK05
Q04906	O35312
Q04906	O95972
Q04906	O75610
Q04906	Q4AEG6
Q04906	Q9Z0J7
Q04906	Q64280
Q04906	P10600
Q04906	P12645
Q04906	P27090
Q04906	Q99988
Q04906	P05111
Q04906	Q6HA10
Q04906	P55104
Q04906	P12644
Q04906	P49001
Q04906	Q04997
Q04906	P22003
Q04906	Q7Z5Y6
Q04906	P20863
Q04906	P17490
Q04906	P55103
Q04906	P61812
Q04906	P21275
Q04906	P12643
Q04906	P49003
Q04906	P34821
Q04906	P21274
Q04906	D3ZTI5
Q86UW7-2	Q86UW7-2
Q86UW7-2	Q8BYR5-2
Q86UW7-2	Q9ULU8-2
Q86UW7-2	Q9ULU8
Q86UW7-2	Q62717
Q86UW7-2	Q8BYR5
Q86UW7-2	Q80TJ1
Q86UW7-2	Q86UW7
Q86UW7-2	Q9ULU8-4
Q86UW7-2	XP_001060172
Q86V20	Q86V20
Q86V20	Q3UEN2
Q86V20	Q86V20-2
O43482	O43482
O43482	NP_001333352
O43482	A2AQ14
Q3V036	Q3V036
Q3V036	Q2M243
P70699	P70699
P70699	F8VQM5
P70699	Q2M2H8
P70699	D3ZAN3
P70699	Q09030
P70699	P10253
P70699	P04155
P70699	A2AQJ8
P70699	Q07654
P70699	Q08423
P70699	P01359
P70699	P23739
P70699	Q62395
P70699	Q03191
P70699	Q63467
P70699	P14410
P70699	D4A7G5
P70699	Q8BHN3
P70699	Q14697
P70699	B5THE2
P70699	Q8TET4
P70699	O43451
P70699	Q8BVW0
P70699	Q14697-2
P70699	Q6P7A9
P70699	Q03403
P70699	Q8BHN3-2
P70699	Q03404
S4R2K0	S4R2K0
S4R2K0	Q9HBH1
S4R2K0	NP_001388000
Q9JIY0	Q9JIY0
Q9JIY0	Q8K124
Q9JIY0	Q5BJM5
Q9JIY0	Q53GL0
Q9JIY0	D3Z9K4
Q9JIY0	Q8TD55
NP_001132937	NP_001132937
NP_001132937	Q9BXS4
NP_001132937	Q9QY73
NP_001132937	Q5HZE8
NP_001132937	Q9UK28
NP_001132937	Q7TNI2
O95456-2	O95456-2
O95456-2	D4AAH6
O95456-2	Q9JK23
O95456-2	O95456
Q5VT28	Q5VT28
Q8BM93	Q8BM93
O95561	O95561
Q924C9	Q924C9
Q924C9	O70531
Q924C9	P40879
Q924C9	P58743
Q924C9	Q8TE54-2
Q924C9	Q99NH7
Q924C9	D3Z8P6
Q924C9	P58743-2
Q924C9	NP_001385736
Q924C9	Q7LBE3
Q924C9	P58735
Q924C9	Q8BU91
Q924C9	Q9H2B4
Q924C9	Q8NG04
Q924C9	Q9R155
Q924C9	O43511
Q924C9	Q8R2Z3
Q924C9	Q5EBI0
Q924C9	Q8TE54
Q924C9	D3Z9I5
Q924C9	F7F9X9
Q924C9	Q9R154
Q924C9	Q96RN1
Q924C9	Q86WA9
Q924C9	P45380
Q924C9	Q8R0C3
Q924C9	Q80ZD3
Q924C9	Q62273
Q924C9	Q9BXS9
Q924C9	Q7LBE3-2
Q924C9	P50443
Q924C9	Q9BXS9-3
Q924C9	Q9EPH0
Q924C9	Q8CIW6
Q68FS6	Q68FS6
Q68FS6	Q8WU10
Q68FS6	Q3TMV7
P24310	P24310
P24310	P48771
P24310	O60397
P24310	D3ZYX8
P24310	P14406
P24310	P56392
P24310	P07470
P24310	Q61387
P24310	O14548
P24310	P35171
B3KS81	B3KS81
Q9D9I4	Q9D9I4
Q9D9I4	Q96BZ9
Q9D9I4	Q96BZ9-3
Q8CAF4-3	Q8CAF4-3
Q8CAF4-3	Q5HYW2
Q8CAF4-3	Q5HYW2-2
Q8CAF4-3	A2A7S8-2
Q8CAF4-3	NP_001178662
Q8CAF4-3	Q6T4R5
Q8CAF4-3	Q9P206-2
Q8CAF4-3	Q5SYE7-2
Q8CAF4-3	A2A7S8
Q8CAF4-3	Q9P206
Q8CAF4-3	B1AXH1
Q8CAF4-3	B2RXX7
Q8CAF4-3	D4A4H2
Q8CAF4-3	Q8CAF4
Q8CAF4-3	XP_006222895
Q8CAF4-3	D3ZQK5
Q8CAF4-3	Q5SYE7
Q9BWD3	Q9BWD3
Q9BWD3	Q7TN75
Q9BWD3	Q7TN75-2
Q9BWD3	Q3URY0
Q9BWD3	XP_038964526
Q9BWD3	Q6ZR62
Q9BWD3	Q5HYW3
Q9BWD3	Q505G4
Q9BWD3	Q5DTT4
Q9BWD3	Q9D1F0
Q9BWD3	Q32KG4
Q9BWD3	Q17RB0
Q9BWD3	A6ZKI3
Q9BWD3	Q9D6I0
Q9BWD3	Q7M732
Q9BWD3	Q8NET4
Q9BWD3	Q6ICC9
Q9BWD3	Q6P1Y1
Q9BWD3	XP_243381
Q9BWD3	A6NKG5
Q9BWD3	Q86TG7
Q9BWD3	Q7L3V2
Q9BWD3	O95751
Q9BWD3	D3ZH95
Q9BWD3	Q8N8U3
Q9BWD3	Q7TPY9
Q9BWD3	D4A5N6
Q9BWD3	Q86TG7-2
Q8NCC5-3	Q8NCC5-3
Q8NCC5-3	Q8TED4
Q8NCC5-3	D3ZS16
Q8NCC5-3	P57057
Q8NCC5-3	Q8R070
Q8NCC5-3	Q8TED4-2
Q8NCC5-3	Q8NCC5
Q8NCC5-3	Q3TIT8
Q8NCC5-3	Q9WU81
Q8N0V1	Q8N0V1
Q8N8P6	Q8N8P6
A6NC62	A6NC62
Q9GZY1	Q9GZY1
O14603	O14603
Q3TYV2	Q3TYV2
Q3TYV2	C9JL84
D3ZNH2	D3ZNH2
D3ZNH2	A6H702
D3ZNH2	Q5SSI6
D3ZNH2	Q9Y5J1
Q9D6W7	Q9D6W7
Q9D6W7	Q9QX82
Q9D6W7	Q6UWJ8
Q9D6W7	Q04900
Q9D6W7	Q9R0L9
Q64356	Q64356
Q64356	P04812
Q64356	P30933
Q8K0R8	Q8K0R8
XP_003084681	XP_003084681
O60256-4	O60256-4
O60256-4	Q14558-2
O60256-4	Q8C5R8
O60256-4	P21108
O60256-4	P11908
O60256-4	G3UXL2
O60256-4	NP_001009694
O60256-4	P60892
O60256-4	P60891
O60256-4	Q9D7G0
O60256-4	P11908-2
O60256-4	O60256-2
O60256-4	O60256-3
O60256-4	Q8R574
O60256-4	O08618
O60256-4	O60256
O60256-4	Q63468
O60256-4	P09330
O60256-4	Q9CS42
O60256-4	Q14558
O60256-4	Q9D0M1
Q9UBP6-2	Q9UBP6-2
Q9UBP6-2	M0R637
Q9UBP6-2	Q9Z120
Q9UBP6-2	Q9UBP6
Q6IBW4-5	Q6IBW4-5
Q6IBW4-5	Q6IBW4
Q6IBW4-5	Q3SZL8
Q6IBW4-5	Q8BSP2
Q6IBW4-5	Q4V8I2
Q6IBW4-5	Q6IBW4-2
Q6IBW4-5	Q6IBW4-4
B2CXA1	B2CXA1
Q9DAE7	Q9DAE7
Q9DAE7	A0A1B0GVM6
A1A4I1	A1A4I1
A1A4I1	Q08357
A1A4I1	AAB31458
A1A4I1	Q63488
A1A4I1	Q61609
A1A4I1	Q8WUM9
A1A4I1	Q9JJP0
A1A4I1	Q80UP8
A6NEH8	A6NEH8
P25114	P25114
P25114	Q6DTY7
P25114	Q16877
P25114	P70265
P25114	Q6GTL7
P25114	P07953
P25114	P16118
P25114	Q16875-4
P25114	P70266
P25114	P26285
P25114	O35552
P25114	Q9ESY2
P25114	Q16875
P25114	O60825-2
P25114	Q9JJH5
P25114	O60825
Q5RK00	Q5RK00
Q5RK00	Q9EQI8
Q5RK00	Q9H2W6
P01355	P01355
P01355	P06307
P01355	P09240
P27694	P27694
P27694	Q8VEE4
P27694	Q7TP21
Q80UG1	Q80UG1
Q80UG1	Q8N9I5
Q96GS4	Q96GS4
Q96GS4	Q9D6W8
Q96GS4	Q66H43
P54886	P54886
P54886	D3ZIE9
P54886	Q9Z110
Q9D8M4	Q9D8M4
Q9D8M4	NP_001386263
Q9D8M4	P05426
Q9D8M4	O95036
Q9D8M4	P14148
Q9D8M4	Q6DKI1
Q9D8M4	P18124
Q8N5M9	Q8N5M9
Q8N5M9	Q4KM64
Q8N5M9	Q5XKN4
Q64286	Q64286
Q6PDY2	Q6PDY2
Q6PDY2	Q96SZ5
Q9NWZ5	Q9NWZ5
Q9NWZ5	D3ZYQ8
Q9NWZ5	Q96BW1
Q9NWZ5	Q9BZX2
Q9NWZ5	B5DF24
Q9NWZ5	Q9HA47
Q9NWZ5	P52623
Q9NWZ5	Q91YL3
Q9NWZ5	D4ABC7
Q9NWZ5	B1AVZ0
Q9NWZ5	Q9HA47-3
Q9NWZ5	Q9HA47-4
Q9NWZ5	Q9QYG8
Q9NWZ5	Q99PM9
Q6P582	Q6P582
Q6P582	D4AA02
Q6P582	Q6NZ67
Q6P582	Q9CQ25
Q99633	Q99633
Q99633	Q8BM39
Q99633	Q9JKB8
Q8TCG1	Q8TCG1
Q8TCG1	Q8BWY9
Q8TCG1	D3ZF50
Q6P9F0	Q6P9F0
Q6P9F0	E9PVD1
Q3U466	Q3U466
Q3U466	Q9NWW5-2
Q3U466	Q9NWW5
Q8IYQ7	Q8IYQ7
Q8IYQ7	Q5BK42
Q8IYQ7	Q8BH55
Q8IWG1	Q8IWG1
Q8IWG1	NP_001128208
Q8IWG1	B2RY71
A2RTF1	A2RTF1
A2RTF1	Q9H7T0
Q8WU43	Q8WU43
Q5SWW7	Q5SWW7
A6NGG3	A6NGG3
Q96MF4	Q96MF4
Q8C5S3	Q8C5S3
Q8C5S3	Q8N5N4
Q8WVI0	Q8WVI0
Q8WVI0	Q8C1Q6
Q8WVI0	XP_341398
Q96GX2	Q96GX2
Q96GX2	Q14CW9-2
Q96GX2	Q3UD01
Q96GX2	D3ZFQ1
Q96GX2	D4A5H7
Q96GX2	A2AWT3
Q96GX2	Q14CW9
Q80H93	Q80H93
Q8NAJ2	Q8NAJ2
P00157	P00157
P00157	P00156
P00157	P00158
P00157	P00159
Q6UXQ8	Q6UXQ8
P59942	P59942
Q5SXG7	Q5SXG7
Q5SXG7	Q7Z5L0
C9JFL3	C9JFL3
C9JFL3	Q8K0G7
D6MZJ6	D6MZJ6
D6MZJ6	Q9NY59
D6MZJ6	Q9JJY3
D6MZJ6	D3ZL06
D6MZJ6	O35049
Q68FV2	Q68FV2
Q68FV2	Q8N6S5
Q68FV2	Q8BH07
Q6GV28	Q6GV28
Q6GV28	Q6GV27
Q6GV28	Q9D9S2
P0C5K7	P0C5K7
Q9CQA1	Q9CQA1
Q9CQA1	B0BNE3
Q9CQA1	Q8IUR0
Q6UXA7	Q6UXA7
Q6UXA7	Q8BM15
P56851	P56851
P56851	Q14507
P56851	Q8K0E4
Q9CPR5	Q9CPR5
Q9CPR5	A0A0G2K9B4
Q9CPR5	Q0VC21
Q9CPR5	Q9P015
XP_001073552	XP_001073552
Q9Y2R0	Q9Y2R0
Q9Y2R0	D3Z9I1
Q9Y2R0	Q9D2R6
Q80X86	Q80X86
Q80X86	B0BNC7
Q80X86	Q5T9G4
Q8CH62	Q8CH62
Q8CH62	Q8WV07
Q9Y4X3	Q9Y4X3
Q9Y4X3	Q9NRJ3
Q9Y4X3	Q9Z1X0
Q9Y4X3	Q9JIL2
Q9DD06	Q9DD06
Q9DD06	Q99969
Q9DB76	Q9DB76
Q9DB76	Q5U1W7
Q9DB76	Q9Y3B6
Q9DB76	O70378
Q9DB76	Q5FVL2
Q9DB76	O43402
Q0VG73	Q0VG73
Q76MT4	Q76MT4
Q76MT4	Q3V1V3
Q76MT4	Q9H501
H3BMG3	H3BMG3
Q8C3H7	Q8C3H7
P22629	P22629
P0CG08	P0CG08
P0CG08	B7ZAQ6
P0CG08	Q8BS95
P0CG08	F1LTD0
Q6NSI4-4	Q6NSI4-4
Q6NSI4-4	Q6NSI4
Q6NSI4-4	Q8C779
Q6NSI4-4	B2GV47
Q3T1K9	Q3T1K9
Q3T1K9	Q9CQM0
Q3T1K9	Q9BSH3
D4A6Y1	D4A6Y1
D4A6Y1	Q8BMA5
D4A6Y1	Q14207
Q8BPA5	Q8BPA5
Q71RC9	Q71RC9
Q71RC9	Q8BT42
Q5XI03	Q5XI03
Q5XI03	Q96GE4
Q5XI03	Q8BVV7
P60467	P60467
P60467	P60468
P60467	B2RZD1
P60467	Q9CQS8
Q9Y2V7	Q9Y2V7
Q9Y2V7	Q68FP9
Q9Y2V7	Q8R3I3
Q9BSE5	Q9BSE5
Q9BSE5	Q0D2L3
Q9BSE5	A2AS89
Q9JJB9	Q9JJB9
Q9JJB9	Q68FS7
Q9JJB9	Q8IXX5
Q9JJB9	Q1AE95
Q3TQF0	Q3TQF0
Q3TQF0	B2RYN2
Q3TQF0	Q5XUX0
Q8VCN5	Q8VCN5
Q8VCN5	P18757
Q8VCN5	P32929
Q96DY2	Q96DY2
Q96DY2	Q9D3V1
Q96DY2	Q5XIR6
P70274	P70274
P70274	P49908
P70274	P25236
Q8CB19	Q8CB19
Q8CB19	Q8N3S3
Q8CB19	F1M8G0
Q8CB19	Q9QZ09
Q8CB19	Q9UMS5
O75031	O75031
O75031	XP_574729
O75031	Q9D4G2
Q9BXC9	Q9BXC9
Q9BXC9	Q99MH9
Q9BXC9	Q9CWF6
Q96M20	Q96M20
Q96M20	Q96M20_VAR_P375S
Q96M20	Q9D5U8
Q96HA9	Q96HA9
Q96HA9	Q6P6M5
Q9H1C7	Q9H1C7
Q9H1C7	Q8K353
Q8R138	Q8R138
Q8R138	Q4V9L6
Q8R138	B2RYL3
Q63068	Q63068
Q63068	Q9H814
Q63068	Q9JJT9
Q8R2K4	Q8R2K4
Q8R2K4	Q9Y6J9
Q8R2K4	B5DF37
Q969T9	Q969T9
Q969T9	Q6ICG8
Q969T9	Q9D529
Q969T9	Q8R478
Q969T9	P97765
Q5BJN1	Q5BJN1
Q5BJN1	Q9JMD3
Q5BJN1	Q9Y365
A0A0U1RQ45	A0A0U1RQ45
A0A0U1RQ45	A0A0U1RQS6
Q32M21-2	Q32M21-2
Q32M21-2	Q9BYG8
Q32M21-2	Q8TAX9-1
Q32M21-2	Q99NB5
Q32M21-2	D3ZK05
Q32M21-2	Q9D8T2
Q32M21-2	P57764
Q32M21-2	Q32M21
Q32M21-2	Q3TR54
Q32M21-2	Q8CB12
Q32M21-2	Q96QA5
Q32M21-2	XP_984438
Q32M21-2	Q2KHK6
Q32M21-2	Q0ZLH3
Q32M21-2	Q9EST1
Q32M21-2	P85967
Q32M21-2	Q0ZLH2
Q32M21-2	Q8TAX9
Q32M21-2	D3ZA32
Q32M21-2	Q5Y4Y6
Q32M21-2	Q9Z2D3
Q32M21-2	F1MAG0
Q32M21-2	O60443
B1B213	B1B213
B1B213	Q3TDZ7
B1B213	B1B212
P0DP42	P0DP42
E1BP16	E1BP16
E1BP16	A9Z1X7
E1BP16	A2A8V9
E1BP16	Q52KI8
E1BP16	Q8IYB3
E1BP16	Q52KI8_VAR_S768T
E1BP16	Q8IYB3-2
E1BP16	B2RYB3
Q62809	Q62809
Q62809	P97466
Q62809	Q13253
A0A0U1RRL7	A0A0U1RRL7
D4A7U2	D4A7U2
D4A7U2	Q8N187
D4A7U2	Q8VHI4
O35458	O35458
O35458	O35633
O35458	Q9H598
Q9Y2A0	Q9Y2A0
Q9EQY6	Q9EQY6
Q9EQY6	Q9H3S5
Q9EQY6	Q8C2R7
XP_038943200	XP_038943200
XP_038943200	A0A0U1RR11
XP_038943200	P0DPI3
XP_038943200	Q9CXS4
XP_038943200	Q7Z7K6
XP_038943200	A0A0U1RRI6
XP_038943200	Q7Z7K6-3
Q80YV3	Q80YV3
Q80YV3	Q9Y4A5-2
Q80YV3	D3ZGS2
Q80YV3	Q9Y4A5
Q80YV3	E9QLK7
XP_006247917	XP_006247917
XP_006247917	Q8BHF7
XP_006247917	Q32NB8
A0A455ZAR2	A0A455ZAR2
F1LR76	F1LR76
F1LR76	Q8WVB3
F1LR76	Q3U4H6
F1LR76	Q8WVB3-2
P97760	P97760
P97760	Q5EB90
P97760	Q5RJK9
P97760	P52432
P97760	O15160
P97760	P19387
Q6UX40	Q6UX40
Q6UX40	Q9CPV0
Q6UX40	D3ZFW5
Q9CQM2	Q9CQM2
Q9CQM2	Q5U305
Q9CQM2	P33947
Q9CQM2	Q569A6
Q9CQM2	Q99JH8
Q9CQM2	P24390
Q9CQM2	O43731
Q9CQM2	Q8R1L4
Q9CQM2	B1WC77
P14115	P14115
P14115	P18445
P14115	P46776
P14115	XP_001073402
P14115	D3ZI60
Q9DB91	Q9DB91
Q9DB91	Q9NX70
Q9DB91	D4A108
Q8BLC3	Q8BLC3
Q8BLC3	Q8N2G4
Q8BLC3	Q66H42
Q8BLC3	Q8N2G4-2
Q703I1	Q703I1
Q703I1	Q9D722
Q703I1	Q9NX31
O70302	O70302
O70302	O60543
O70302	P56198
O70302	O54786
O70302	O00273
O70302	Q5XI33
O70302	O54786-2
O70302	O00273-2
O70302	O70303
O70302	Q9UHD4
O70302	Q498U6
O70302	Q96AQ7
Q505D7	Q505D7
Q505D7	Q9H6K4
Q505D7	Q9H6K4-2
P07321	P07321
P07321	P29676
P07321	P01588
Q8NHQ1	Q8NHQ1
Q8NHQ1	Q6IQY5
Q8NHQ1	Q5PQQ9
Q96GX8	Q96GX8
Q96GX8	Q8K1L6
Q63472	Q63472
Q63472	Q9EPI9
Q63472	Q9R1T9
Q63472	Q9WVJ0
Q63472	O54853
Q63472	Q9ULD8
Q63472	Q32ME0
Q63472	O54852
Q63472	Q9NS40
Q63472	O35219
Q63472	Q96L42
Q63472	P59111
Q63472	Q9H252
Q63472	Q12809-2
Q63472	Q920E3
Q63472	A2A5F7
Q63472	Q9UQ05
Q63472	Q8NCM2
Q63472	Q9QWS8
Q63472	O08962
Q63472	Q12809
Q63472	Q12809_VAR_014388
Q63472	Q60603
Q63472	O95259
Q63472	O89047
Q63472	Q9ER47
Q9H668	Q9H668
Q9H668	Q6AYD2
Q9H668	Q8K2X3
Q9CWQ0	Q9CWQ0
Q9CWQ0	Q9H2P9-5
Q9CWQ0	Q569A7
Q9CWQ0	Q9H2P9
Q8VE88	Q8VE88
Q8VE88	XP_220442
Q8VE88	D4A777
Q8VE88	E1BFB9
Q8VE88	Q8IWE2
Q8VE88	Q9D281
Q8VE88	Q9NRY5
Q9NRX2	Q9NRX2
Q9NRX2	Q9D8P4
Q9NRX2	Q6PDW6
Q9CQ45	Q9CQ45
Q9CQ45	O15173-2
Q9CQ45	O55022
Q9CQ45	Q6AY62
Q9CQ45	P70580
Q9CQ45	Q8WUJ1
Q9CQ45	Q80UU9
Q9CQ45	Q5XIU9
Q9CQ45	O15173
Q9CQ45	Q5SSH8
Q9CQ45	Q6IUR5
Q9CQ45	Q9UMX5
Q9CQ45	Q95250
Q9CQ45	O00264
Q9Y3E5	Q9Y3E5
Q9Y3E5	Q5XI86
Q9Y3E5	Q8R2Y8
J3QNH8	J3QNH8
J3QNH8	A1L170
J3QNH8	A1L170-2
J3QNH8	D4A2R8
Q9ER30	Q9ER30
Q9ER30	NP_001101665
Q9ER30	A2AUC9
Q9ER30	O60662
Q9ER30	Q9D783
Q9ER30	Q2TBA0
Q9ER99	Q9ER99
Q9ER99	Q92681
Q9ER99	Q29106
O54697	O54697
O54697	Q04609
O54697	Q7M758
O54697	Q9UQQ1
O54697	Q9HBA9
O54697	B2GUY2
O54697	Q6IRK9
O54697	Q9UQQ1-4
O54697	Q9Y646
O54697	Q9WVJ3
O54697	Q99376
O54697	Q9JKX3
O54697	P02786
O54697	Q9Y3Q0
O54697	Q9CZR2
O54697	Q9UP52
O54697	O35409
O54697	P70627
O54697	Q62351
Q8N123	Q8N123
Q8N123	Q3V0P1
Q641X9	Q641X9
Q641X9	Q9BYD2
Q641X9	Q2TBK2
Q641X9	Q99N94
B2RBV5	B2RBV5
B2RBV5	Q9Y605
B2RBV5	Q5M820
B2RBV5	Q9CQL7
B2RBV5	Q96HT8
B2RBV5	XP_619467
P10168	P10168
P10168	P56478
P10168	P13232
Q9QYK3	Q9QYK3
Q9QYK3	Q96F24
Q9QYK3	Q8VCQ3
Q8IY50	Q8IY50
Q8IY50	Q8IY50-2
Q8IY50	Q1LZI2
Q8IY50	A4IF30
Q8IY50	Q8BZK4
P10242-11	P10242-11
P10242-11	Q5SXM2
P10242-11	Q6A068
P10242-11	Q8CE22
P10242-11	Q9Y222
P10242-11	P10243-2
P10242-11	F1M9K6
P10242-11	O08837
P10242-11	D3ZF01
P10242-11	Q66HG1
P10242-11	D3ZLC6
P10242-11	P48972
P10242-11	P10244
P10242-11	P06876
P10242-11	P51960
P10242-11	P10242
P10242-11	Q99459
P10242-11	P10243
P10242-11	P10242-4
P10242-11	P01103
P10242-11	Q8BP86
P10242-11	D4A3C9
P04578	P04578
Q96MW1-2	Q96MW1-2
Q96MW1-2	Q5BK07
Q96MW1-2	Q9CR29
Q96MW1-2	Q96MW1
Q3UTM7	Q3UTM7
Q9P0R6	Q9P0R6
Q9P0R6	Q5PPI3
Q9P0R6	Q8BGR8
XP_001480095	XP_001480095
Q8IX90-3	Q8IX90-3
Q8IX90-3	B2GUZ2
Q8IX90-3	Q8C263
Q8IX90-3	Q8IX90
Q9Z224	Q9Z224
Q9Z224	O96033
Q3V2N7	Q3V2N7
Q3V2N7	Q8R043
Q3V2N7	Q9UK00
Q3V2N7	Q8BGK9
Q3V2N7	Q86T20
Q86SH4	Q86SH4
Q9UIG5	Q9UIG5
Q5T871	Q5T871
Q5T871	Q9DAE3
Q5VT33	Q5VT33
B2RVY9	B2RVY9
B2RVY9	Q6ZP80
Q6ZMV7	Q6ZMV7
Q6ZMV7	NP_001160131
Q6ZMV7	F1M8S9
Q6ZMV7	J3KP02
Q13683-7	Q13683-7
Q13683-7	Q00651
Q13683-7	P13612
Q13683-7	A0A0G2K1E2
Q13683-7	B8JK39
Q13683-7	P06756
Q13683-7	Q13797
Q13683-7	Q8R2H5
Q13683-7	O70362
Q13683-7	B5DEG1
Q13683-7	Q9QUM0
Q13683-7	P80108
Q13683-7	P80109
Q13683-7	A2ARA8
Q13683-7	Q61739-2
Q13683-7	P53708
Q13683-7	P23229
Q13683-7	P23229-2
Q13683-7	Q13683
Q13683-7	NP_001101207
Q13683-7	Q62470
Q13683-7	P26006
Q13683-7	P23229-6
Q13683-7	P11688
Q13683-7	Q924W2
Q13683-7	P08648
Q13683-7	Q61739
Q13683-7	F1LZX9
Q13683-7	P26006-1
Q13683-7	Q6EIY7
Q13683-7	P08514
Q13683-7	Q13683-3
Q13683-7	Q63258
Q13683-7	Q61738
Q13683-7	P43406
Q13683-7	P06756-2
Q13683-7	NP_001101762
Q8WWA1-2	Q8WWA1-2
Q8WWA1-2	XP_001059205
Q8WWA1-2	Q8WWA1
Q8WWA1-2	Q4FJU9
D3ZVN1	D3ZVN1
D3ZVN1	A2RUU4
D3ZVN1	P04118
